2025-12-25 21:08:25 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-25.log
2025-12-25 21:08:26 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 1 account(s).
2025-12-25 21:08:26 UTC | INFO     | server | Using specified account: 5WI12958
2025-12-25 21:09:54 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-25.log
2025-12-25 21:09:55 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 1 account(s).
2025-12-25 21:09:55 UTC | INFO     | server | Using specified account: 5WI12958
2025-12-25 21:09:55 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-25.log
2025-12-25 21:14:55 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:19:55 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:24:55 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:29:56 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:34:56 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:39:56 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:44:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:49:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:54:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 21:59:58 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:04:58 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:09:58 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:14:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:19:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:24:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:29:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:34:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:40:00 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:45:00 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:50:00 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 22:55:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:00:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:05:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:10:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:15:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:20:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:25:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:30:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:35:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:40:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:45:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:50:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-25 23:55:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:00:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:05:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:10:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:15:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:20:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:25:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-26 00:30:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
