2025-12-30 13:30:40 UTC | INFO     | http_server | Logger initialized for http_server - Logging to /app/Logs/http_server_2025-12-30.log
2025-12-30 13:30:41 UTC | INFO     | http_server | Starting TastyTrade HTTP server on 0.0.0.0:8033
2025-12-30 13:30:41 UTC | INFO     | http_server | Set API_KEY environment variable to secure the server
2025-12-30 13:30:41 UTC | INFO     | http_server | Set CORS_ORIGINS environment variable to restrict CORS (comma-separated)
2025-12-30 13:30:41 UTC | INFO     | http_server | TastyAgent loggers initialized
2025-12-30 13:30:41 UTC | INFO     | http_server | Loaded 4 credential(s) from database
2025-12-30 13:30:41 UTC | WARNING  | http_server | API key  already exists in credentials, skipping default env vars
2025-12-30 13:30:41 UTC | INFO     | http_server | Loaded credentials for 4 API key(s)
2025-12-30 13:30:41 UTC | INFO     | http_server | Loaded settings for 0 API key(s)
2025-12-30 13:30:41 UTC | INFO     | http_server | Using Claude model: anthropic:claude-3-5-haiku-20241022
2025-12-30 13:30:42 UTC | INFO     | http_server | Successfully authenticated API key 5WI12958... with Tastytrade. Found 2 account(s).
2025-12-30 13:30:48 UTC | ERROR    | http_server | Failed to authenticate API key 5WZ82349... with Tastytrade: Couldn't parse response: {'error_code': 'invalid_grant', 'error_description': 'Grant revoked'}
2025-12-30 13:30:54 UTC | INFO     | http_server | Session keep-alive task cancelled
2025-12-30 13:31:14 UTC | INFO     | http_server | Logger initialized for http_server - Logging to /app/Logs/http_server_2025-12-30.log
2025-12-30 13:31:14 UTC | INFO     | http_server | Starting TastyTrade HTTP server on 0.0.0.0:8033
2025-12-30 13:31:14 UTC | INFO     | http_server | Set API_KEY environment variable to secure the server
2025-12-30 13:31:14 UTC | INFO     | http_server | Set CORS_ORIGINS environment variable to restrict CORS (comma-separated)
2025-12-30 13:31:14 UTC | INFO     | http_server | TastyAgent loggers initialized
2025-12-30 13:31:14 UTC | INFO     | http_server | Loaded 2 credential(s) from database
2025-12-30 13:31:14 UTC | INFO     | http_server | Loaded default live credentials for API key: 
2025-12-30 13:31:14 UTC | INFO     | http_server | Loaded credentials for 3 API key(s)
2025-12-30 13:31:14 UTC | INFO     | http_server | Loaded settings for 0 API key(s)
2025-12-30 13:31:14 UTC | INFO     | http_server | Using Claude model: anthropic:claude-3-5-haiku-20241022
2025-12-30 13:31:15 UTC | INFO     | http_server | Successfully authenticated API key 5WI12958... with Tastytrade live. Found 2 account(s).
2025-12-30 13:31:45 UTC | INFO     | http_server | Loaded 4 credential(s) from database
2025-12-30 13:31:45 UTC | WARNING  | http_server | API key  already exists in credentials, skipping default env vars
2025-12-30 13:31:45 UTC | INFO     | http_server | Added/updated credentials for API key 5WZ82349...
2025-12-30 13:31:48 UTC | ERROR    | http_server | Failed to authenticate API key 5WZ82349... with Tastytrade: Session.__init__() got an unexpected keyword argument 'base_url'
2025-12-30 13:32:14 UTC | ERROR    | http_server | Failed to authenticate API key 5WZ82349... with Tastytrade: Session.__init__() got an unexpected keyword argument 'base_url'
