2025-12-30 02:48:40 UTC | INFO     | http_server | Logger initialized for http_server - Logging to /app/Logs/http_server_2025-12-29.log
2025-12-30 02:48:40 UTC | INFO     | http_server | Starting TastyTrade HTTP server on 0.0.0.0:8033
2025-12-30 02:48:40 UTC | INFO     | http_server | Set API_KEY environment variable to secure the server
2025-12-30 02:48:40 UTC | INFO     | http_server | Set CORS_ORIGINS environment variable to restrict CORS (comma-separated)
2025-12-30 02:48:40 UTC | INFO     | http_server | TastyAgent loggers initialized
2025-12-30 02:48:40 UTC | INFO     | http_server | Migrating credentials from /app/credentials.json to database...
2025-12-30 02:48:40 UTC | INFO     | http_server | Successfully migrated 2 credential(s) from JSON to database
2025-12-30 02:48:40 UTC | INFO     | http_server | Backed up JSON file to /app/credentials.json.backup
2025-12-30 02:48:40 UTC | INFO     | http_server | Loaded 2 credential(s) from database
2025-12-30 02:48:40 UTC | INFO     | http_server | Loaded default credentials for API key: 
2025-12-30 02:48:40 UTC | INFO     | http_server | Loaded credentials for 3 API key(s)
2025-12-30 02:48:40 UTC | INFO     | http_server | Loaded settings for 0 API key(s)
2025-12-30 02:48:40 UTC | INFO     | http_server | Using Claude model: anthropic:claude-3-5-haiku-20241022
2025-12-30 02:48:42 UTC | INFO     | http_server | Successfully authenticated API key 5WI12958... with Tastytrade. Found 2 account(s).
2025-12-30 02:52:12 UTC | WARNING  | http_server | .env file not found at /app/.env. Creating new file.
2025-12-30 02:52:12 UTC | INFO     | http_server | Created .env file with MODE=day
2025-12-30 02:52:12 UTC | INFO     | http_server | Cleared agent cache after mode change to day
2025-12-30 02:52:12 UTC | INFO     | http_server | Trading mode updated to day
2025-12-30 02:52:49 UTC | INFO     | http_server | Updated MODE=scalp in .env file
2025-12-30 02:52:49 UTC | INFO     | http_server | Cleared agent cache after mode change to scalp
2025-12-30 02:52:49 UTC | INFO     | http_server | Trading mode updated to scalp
2025-12-30 02:53:49 UTC | INFO     | http_server | Updated MODE=day in .env file
2025-12-30 02:53:49 UTC | INFO     | http_server | Cleared agent cache after mode change to day
2025-12-30 02:53:49 UTC | INFO     | http_server | Trading mode updated to day
2025-12-30 02:57:14 UTC | INFO     | http_server | Updated MODE=scalp in .env file
2025-12-30 02:57:14 UTC | INFO     | http_server | Cleared agent cache after mode change to scalp
2025-12-30 02:57:14 UTC | INFO     | http_server | Trading mode updated to scalp
2025-12-30 02:58:40 UTC | INFO     | http_server | Refreshing session for API key 5WI12958... (expires in 5.0 min)
2025-12-30 03:03:40 UTC | INFO     | http_server | Refreshing session for API key 5WI12958... (expires in 10.0 min)
2025-12-30 03:08:40 UTC | INFO     | http_server | Refreshing session for API key 5WI12958... (expires in 10.0 min)
2025-12-30 03:13:40 UTC | INFO     | http_server | Refreshing session for API key 5WI12958... (expires in 10.0 min)
2025-12-30 03:18:41 UTC | INFO     | http_server | Refreshing session for API key 5WI12958... (expires in 10.0 min)
2025-12-30 03:19:03 UTC | INFO     | http_server | Session keep-alive task cancelled
2025-12-30 03:19:07 UTC | INFO     | http_server | Logger initialized for http_server - Logging to /app/Logs/http_server_2025-12-29.log
2025-12-30 03:19:07 UTC | INFO     | http_server | Starting TastyTrade HTTP server on 0.0.0.0:8033
2025-12-30 03:19:07 UTC | INFO     | http_server | Set API_KEY environment variable to secure the server
2025-12-30 03:19:07 UTC | INFO     | http_server | Set CORS_ORIGINS environment variable to restrict CORS (comma-separated)
